split,label,temporal_consistency,inter_region_agreement,signal_stability,amplitude_reliability,rhythm_quality,sync_behavior,frame_quality_score,roi_stability,temporal_coverage_ratio
train,1,0.760940,0.868610,0.956964,0.816212,0.861977,0.783607,0.858084,0.883376,0.719683
train,0,0.000000,0.000000,0.006407,0.000000,0.000000,0.000000,0.559051,0.292774,0.428261
train,0,0.195702,0.251281,0.163330,0.218606,0.191458,0.152751,0.387266,0.658672,0.715555
train,1,0.812507,0.852522,0.807197,0.869940,0.806947,0.804845,0.978716,0.575204,0.702114
train,1,0.586291,0.499321,0.505731,0.464408,0.472577,0.540822,0.790770,0.669018,0.721432
train,0,0.218513,0.260549,0.000000,0.096742,0.216307,0.033432,0.643960,0.564550,0.621132
train,0,0.116838,0.165682,0.483470,0.361969,0.286252,0.318420,0.340991,0.630516,0.608694
train,0,0.116404,0.060296,0.119585,0.000000,0.326603,0.153756,0.280684,0.530245,0.670994
train,1,0.795824,0.756801,0.865596,0.847935,0.820459,0.855031,0.811328,0.988641,0.840109
train,0,0.536077,0.408741,0.583630,0.471981,0.357928,0.336317,0.743450,0.635000,0.443143
train,1,0.837167,0.866092,0.785826,0.802621,0.698197,0.761976,0.802730,0.760192,0.737558
train,1,0.777486,0.714953,0.840749,0.678883,0.744803,0.729608,0.740115,0.823882,0.722945
train,1,1.000000,0.885267,1.000000,0.961117,0.988000,0.904815,0.789799,0.867943,0.784245
train,1,0.641308,0.724117,0.743918,0.674214,0.739587,0.640907,0.875296,0.624740,0.608971
train,0,0.156507,0.474309,0.334570,0.423415,0.146534,0.248031,0.541489,0.447322,0.503744
train,0,0.416409,0.430042,0.574481,0.571199,0.304513,0.407709,0.259974,0.473631,0.165664
train,1,0.687196,0.831032,0.732849,0.744080,0.716134,0.683122,0.762219,0.565954,0.962818
train,1,0.756812,0.691931,0.693284,0.660087,0.702276,0.714209,0.794807,0.784770,0.392952
train,1,0.746007,0.842582,0.852788,0.869515,0.815102,0.865143,0.733445,0.413892,0.785248
train,1,0.724052,0.807640,0.706884,0.769145,0.787968,0.928097,0.592729,0.793994,0.823521
train,1,0.845771,0.671596,0.871463,0.813756,0.850879,0.813462,0.713417,0.881351,0.845282
train,0,0.182406,0.414903,0.109551,0.263396,0.100651,0.000000,0.446168,0.569208,0.231138
train,1,0.464057,0.397098,0.492542,0.508845,0.539442,0.430110,0.971176,0.941029,0.656219
train,1,0.692237,0.795342,0.524008,0.636646,0.694395,0.628928,0.839792,0.861290,0.696695
train,0,0.152115,0.117995,0.682444,0.102971,0.000000,0.000000,0.676684,0.612454,0.692397
train,0,0.677787,0.492306,0.653240,0.316865,0.478611,0.498525,0.732959,0.120759,0.268032
train,0,0.000000,0.000000,0.000857,0.000000,0.000000,0.276274,0.264775,0.692296,0.573959
train,0,0.426628,0.319465,0.547784,0.486834,0.287546,0.274829,0.136913,0.312053,0.868987
train,1,0.608487,0.705435,0.723945,0.716637,0.607941,0.488882,0.650714,0.858240,0.512759
train,0,0.155766,0.159048,0.285167,0.694320,0.585158,0.702404,0.675602,0.243720,0.336075
train,0,0.152960,0.333372,0.322819,0.187800,0.000000,0.316227,0.322183,0.393236,0.655777
train,1,0.755559,0.811317,0.722735,0.873657,0.743723,0.813452,0.824381,0.822358,0.828779
train,1,0.631101,0.733478,0.686777,0.779308,0.662165,0.623420,0.756008,0.914095,0.811800
train,1,0.468587,0.470132,0.371735,0.398754,0.523713,0.412439,0.849846,0.788828,0.765749
train,0,0.378096,0.433824,0.521577,0.384447,0.701236,0.278833,0.563258,0.538270,0.496073
train,0,0.226346,0.311663,0.217832,0.000000,0.000000,0.333012,0.403510,0.374567,0.567358
train,1,0.570834,0.607822,0.764126,0.639774,0.645204,0.677220,0.669978,0.606277,0.771991
train,0,0.057928,0.000000,0.159428,0.110018,0.088880,0.000000,0.457635,0.179263,0.308619
train,1,0.667246,0.573186,0.755672,0.624565,0.732590,0.633743,0.539199,0.816800,0.633560
train,0,0.248099,0.325271,0.298545,0.265640,0.383758,0.425470,0.510460,0.128269,0.473542
train,0,0.318107,0.343318,0.192330,0.426108,0.400836,0.539598,0.355531,0.449906,0.351473
train,1,0.793017,0.906834,0.804947,0.830706,0.948464,0.816996,0.796364,0.920944,0.669330
train,1,0.751053,0.653572,0.667833,0.747689,0.865847,0.781731,0.433703,0.796421,0.849667
train,1,0.773567,0.741097,0.663785,0.683355,0.694767,0.704753,0.791909,0.734064,0.540319
train,0,0.264505,0.169509,0.363663,0.013008,0.094369,0.299070,0.449665,0.393230,0.553898
train,1,0.555926,0.684230,0.686073,0.636678,0.578351,0.591290,0.858673,0.624492,0.834068
train,1,0.580848,0.543497,0.573495,0.556760,0.449436,0.639059,0.837866,0.608091,0.735920
train,0,0.666857,0.504532,0.520640,0.599877,0.414084,0.547907,0.542767,0.663316,0.381351
train,1,0.321691,0.401035,0.399822,0.307378,0.386106,0.437943,0.872814,0.710726,0.720715
train,1,0.740527,0.627184,0.493149,0.648693,0.743927,0.721807,0.774128,0.862858,0.791690
train,1,0.450263,0.416971,0.551269,0.429949,0.540473,0.374175,0.905643,0.972822,0.696584
train,0,0.000000,0.000000,0.069886,0.148805,0.117975,0.000000,0.002817,0.617417,0.158548
train,1,0.909076,0.919149,0.795503,0.931419,0.813438,0.880172,0.736134,0.590884,0.616391
train,1,0.769766,0.862040,0.838926,0.858913,0.806876,0.921050,0.865973,0.661947,0.613439
train,0,0.019684,0.364115,0.000000,0.135407,0.084028,0.242007,0.451830,0.495057,0.775780
train,0,0.596037,0.471581,0.367835,0.400851,0.053370,0.391536,0.189502,0.443028,0.538383
train,0,0.219667,0.523004,0.564296,0.541632,0.255549,0.168242,0.591980,0.442653,0.841766
train,0,0.671781,0.490267,0.666760,0.536159,0.815019,0.683947,0.745773,0.325457,0.484668
train,1,0.603124,0.553691,0.664390,0.665217,0.658749,0.646664,0.877987,0.811138,0.731447
train,0,0.106121,0.336927,0.197197,0.228123,0.000000,0.278991,0.457335,0.449843,0.350655
train,0,0.276016,0.054994,0.156922,0.079401,0.165913,0.074643,0.362633,0.227560,0.428532
train,1,0.840716,0.906088,0.827317,0.853728,0.845941,0.806664,0.830134,0.841561,0.599421
train,0,0.055412,0.219598,0.351912,0.082812,0.049999,0.126205,0.309921,0.582574,0.496174
train,1,0.771265,0.738261,0.779374,0.831245,0.794401,0.813095,0.851295,0.937855,0.822039
train,1,0.773594,0.640000,0.697068,0.722562,0.668989,0.797128,0.585991,0.882333,0.477023
train,1,0.748113,0.820315,0.809626,0.779438,0.756610,0.792185,0.673448,0.911528,0.749804
train,0,0.326862,0.163257,0.125177,0.000000,0.091818,0.211051,0.542101,0.595666,0.626129
train,1,0.606644,0.755763,0.659143,0.668617,0.629017,0.657064,0.812661,0.698031,0.919254
train,0,0.088174,0.000000,0.015855,0.262418,0.163110,0.258857,0.796346,0.516524,0.531046
train,0,0.429993,0.586925,0.346230,0.642582,0.532298,0.580930,0.588077,0.587758,0.687929
train,0,0.331128,0.336382,0.302551,0.252983,0.248617,0.226975,0.747593,0.138700,0.543948
train,0,0.313662,0.332590,0.337343,0.265871,0.143288,0.349391,0.383017,0.560316,0.476468
train,0,0.634788,0.392737,0.598818,0.890165,0.794603,0.466865,0.377681,0.509124,0.328490
train,1,1.000000,1.000000,1.000000,0.989488,1.000000,1.000000,0.448461,0.705918,0.573057
train,1,0.679050,0.724780,0.712131,0.806926,0.696458,0.649410,0.574198,0.923302,0.892162
train,0,0.144369,0.410014,0.260692,0.440235,0.239004,0.266341,0.282570,0.438849,0.398185
train,1,0.787067,0.767447,0.746937,0.820557,0.758614,0.754362,0.932523,0.285296,0.773933
train,0,0.284450,0.479623,0.488813,0.012283,0.379334,0.311784,0.697591,0.633252,0.649364
train,1,0.588310,0.671261,0.632172,0.642406,0.634263,0.786280,0.494313,0.829419,0.767947
train,0,0.596982,0.622767,0.574262,0.472325,0.552932,0.482387,0.810635,0.354323,0.436296
train,0,0.605923,0.455399,0.397341,0.473154,0.531005,0.550276,0.374014,0.862056,0.794913
train,0,0.108607,0.481992,0.344618,0.259005,0.465223,0.319001,0.277919,0.490904,0.269248
train,0,0.270408,0.187950,0.322630,0.449828,0.518421,0.130272,0.484092,0.314972,0.874839
train,0,0.681243,0.498008,0.318760,0.585105,0.307170,0.434315,0.247264,0.302421,0.413940
train,1,0.586484,0.692531,0.653332,0.705883,0.699986,0.567276,0.814518,0.734331,0.833169
train,0,0.068994,0.112315,0.104311,0.000000,0.000000,0.138964,0.208900,0.526102,0.737864
train,1,0.803912,0.694807,0.744136,0.796509,0.628265,0.740971,0.805865,0.844349,0.717241
train,1,0.896077,0.976177,0.923402,0.945697,0.844690,0.930180,0.742337,0.887694,0.432346
train,0,0.000000,0.000000,0.406790,0.315149,0.008792,0.115490,0.795937,0.431119,0.500028
train,0,0.517139,0.286790,0.084271,0.090638,0.304255,0.101270,0.139067,0.428370,0.049651
train,0,0.432611,0.310160,0.144904,0.130973,0.862565,0.614809,0.642818,0.129035,0.236436
train,1,0.953050,0.888132,0.900524,0.829078,0.876475,1.000000,0.894470,0.706397,0.910705
train,1,0.534770,0.562474,0.489400,0.492335,0.525689,0.521271,0.916002,0.962412,0.827326
train,0,0.250218,0.329211,0.000000,0.078176,0.206540,0.298747,0.695530,0.560849,0.670122
train,0,0.291994,0.389024,0.542692,0.343161,0.436823,0.359253,0.324564,0.529051,0.750002
train,0,0.319408,0.720065,0.732888,0.746745,0.473066,0.378022,0.305017,0.646258,0.330802
train,1,0.904278,0.891311,0.819896,0.787898,0.811714,0.877470,0.743345,0.793918,0.363952
train,1,0.816144,0.856663,0.788281,0.955765,0.931645,0.860456,0.717760,0.853118,0.771584
train,1,0.619112,0.582851,0.500685,0.565856,0.658925,0.676644,0.750900,0.767363,0.734605
train,1,0.791148,0.775541,0.879860,0.752530,0.739331,0.712544,0.819465,0.881567,0.886912
train,1,0.706828,0.805499,0.899118,0.812312,0.761768,0.753915,0.788686,0.651201,0.444911
train,1,0.996237,0.856274,0.732046,0.830715,0.937512,0.896784,0.713510,0.781223,0.477626
train,0,0.488677,0.368163,0.227478,0.493014,0.500726,0.545675,0.415230,0.506210,0.293395
train,0,0.353603,0.284067,0.302459,0.272603,0.302711,0.322709,0.215228,0.510959,0.530414
train,0,0.322107,0.000000,0.138745,0.105748,0.000000,0.000000,0.396608,0.596937,0.206968
train,0,0.632774,0.397205,0.841221,0.555543,0.364904,0.407120,0.500973,0.415641,0.608259
train,1,0.457789,0.374559,0.618432,0.375960,0.408782,0.409217,0.229745,0.676021,0.642589
train,1,0.653578,0.639413,0.729614,0.736792,0.654658,0.536800,0.768110,0.818273,0.763310
train,1,0.795334,0.946553,0.762948,0.939378,0.781461,0.842391,0.587342,0.818794,0.748591
train,1,0.727831,0.544446,0.749349,0.616375,0.707242,0.702123,1.000000,0.704262,0.753923
train,1,0.856210,0.803173,0.788854,0.874552,0.876632,0.931115,0.950498,0.854679,0.672057
train,0,0.584356,0.520626,0.742851,0.569750,0.507900,0.744039,0.604722,0.462027,0.595331
train,0,0.125162,0.064910,0.000000,0.023593,0.074156,0.000000,0.567129,0.509627,0.617631
train,1,0.813414,0.941268,0.803985,0.832754,0.782260,0.906481,0.910714,0.397217,0.536524
train,1,0.951220,1.000000,0.976344,1.000000,0.934358,1.000000,0.897027,0.653989,0.896282
train,1,0.699017,0.667008,0.759459,0.791500,0.714242,0.795752,0.545388,0.919499,0.905742
train,1,0.850818,0.761008,0.765151,0.783861,0.827172,0.685445,0.927542,0.494675,0.777723
train,1,0.653086,0.641304,0.670709,0.661568,0.654084,0.612855,0.867645,0.881024,0.789462
train,0,0.375599,0.469426,0.430959,0.522414,0.687853,0.382619,0.327621,0.508800,0.705636
train,0,0.436437,0.071893,0.468842,0.314963,0.084471,0.320873,0.439961,0.758373,0.620496
train,0,0.000000,0.000000,0.012313,0.000000,0.000000,0.000000,0.723954,0.654679,0.650723
train,0,0.603590,0.550062,0.344719,0.117053,0.147694,0.164426,0.610289,0.659665,0.452712
train,0,0.500208,0.332551,0.341410,0.087718,0.000000,0.528072,0.684584,0.700597,0.281318
train,1,0.802944,0.807211,0.775059,0.799988,0.864918,0.827890,0.595667,0.674050,0.746060
train,0,0.607150,0.774947,0.539656,0.631126,0.597317,0.449422,0.374315,0.623130,0.411137
train,1,0.992192,0.895166,0.975409,1.000000,1.000000,0.948833,0.639659,0.950993,0.830643
train,1,0.754037,0.763893,0.836785,0.730723,0.854960,0.860557,0.992705,0.596349,0.885225
train,0,0.419863,0.511363,0.487731,0.320660,0.483819,0.213176,0.270565,0.239917,0.383879
train,0,0.518449,0.468827,0.639892,0.407225,0.361064,0.679528,0.709241,0.351722,0.722157
train,1,0.578080,0.690412,0.652076,0.658248,0.718953,0.565536,0.806022,0.737980,0.771154
train,1,0.853654,0.860576,0.903398,0.865805,0.780286,0.809118,0.542218,0.868537,0.633674
train,0,0.565116,0.151383,0.267455,0.077891,0.054372,0.161888,0.431442,0.604039,0.471746
train,1,0.725065,0.725553,0.732862,0.653573,0.712691,0.639701,0.887947,0.806513,0.541348
train,1,0.578424,0.640492,0.547634,0.636877,0.638894,0.652858,0.807933,0.800539,0.781608
train,0,0.285327,0.576447,0.283475,0.686943,0.247580,0.167509,0.574569,0.588527,0.315553
train,1,0.783060,0.664052,0.674828,0.632956,0.789851,0.752887,0.546737,0.897664,0.736495
train,1,0.519855,0.459426,0.598807,0.536782,0.491312,0.547860,0.405312,0.691924,0.433487
train,0,0.331075,0.550380,0.419476,0.412884,0.364604,0.656070,0.565013,0.460224,0.225773
train,0,0.205970,0.005574,0.000000,0.000000,0.102319,0.000000,0.656514,0.289856,0.349058
train,1,0.607861,0.570475,0.703664,0.628282,0.593378,0.678077,0.354347,0.785456,0.869050
train,0,0.214024,0.358492,0.422602,0.349871,0.174173,0.240992,0.350410,0.685786,0.480154
train,0,0.336421,0.310870,0.399355,0.435664,0.536978,0.401692,0.481144,0.529392,0.310100
train,0,0.399610,0.332885,0.382559,0.491429,0.446328,0.322456,0.672308,0.587451,0.358724
train,1,0.663320,0.638144,0.742359,0.603365,0.742262,0.758304,0.717865,0.751788,0.239390
train,1,0.571369,0.602699,0.610158,0.809254,0.769913,0.637104,0.965155,0.915379,0.717084
train,0,0.528495,0.504142,0.623098,0.367619,0.322146,0.593746,0.189836,0.405419,0.521245
train,0,0.590319,0.428306,0.344014,0.507929,0.534619,0.510302,0.378571,0.288667,0.681665
train,0,0.584121,0.650737,0.466561,0.367408,0.489031,0.936605,0.706779,0.327795,0.782262
train,1,0.766087,0.670057,0.577412,0.636062,0.717328,0.707987,0.712611,0.760182,0.863473
train,1,0.509181,0.571937,0.493762,0.546131,0.514294,0.572581,0.821528,0.700569,0.820072
train,1,0.546769,0.522023,0.495103,0.669295,0.583755,0.590109,0.871848,0.687158,0.671202
train,0,0.449571,0.737024,0.465022,0.605420,0.604037,0.675207,0.381582,0.311277,0.529259
train,0,0.052865,0.359296,0.019431,0.148826,0.155110,0.421794,0.342172,0.825444,0.591099
train,0,0.357188,0.267621,0.357517,0.065123,0.262700,0.049850,0.399320,0.142287,0.448336
train,1,0.834070,0.927851,0.752677,0.743827,0.709584,0.788668,0.804579,0.829365,0.716849
train,0,0.379173,0.317939,0.564388,0.415061,0.285132,0.420422,0.303279,0.429537,0.063292
train,1,0.712335,0.652222,0.705822,0.639237,0.628315,0.567235,0.932021,0.662474,1.000000
train,1,0.723335,0.761766,0.704947,0.659716,0.561522,0.690692,0.449391,0.874918,0.635217
train,1,0.922070,0.981828,0.977456,1.000000,0.882965,0.997941,0.868751,0.876313,0.613279
train,0,0.188449,0.150209,0.000000,0.114724,0.157950,0.230872,0.586730,0.443328,0.452760
train,0,0.491531,0.558913,0.662767,0.511076,0.149120,0.358507,0.353459,0.511820,0.639333
train,0,0.413493,0.280056,0.040250,0.000000,0.372644,0.190023,0.380416,0.248879,0.705141
train,1,1.000000,1.000000,1.000000,1.000000,1.000000,0.991999,0.435044,0.786785,0.651541
train,1,0.799961,0.806656,0.732954,0.774352,0.825365,0.867961,0.823430,0.893251,0.638272
train,0,0.016052,0.096188,0.317917,0.193443,0.143113,0.000000,0.248593,0.526979,0.279310
train,1,0.736616,0.738218,0.743935,0.685350,0.835023,0.721821,0.894016,0.449100,0.917697
train,0,0.362314,0.219970,0.348436,0.725158,0.506927,0.272851,0.248137,0.579279,0.452573
train,1,0.646358,0.725043,0.656345,0.723995,0.685774,0.753400,0.982540,0.822192,0.932827
train,0,0.505865,0.567419,0.550778,0.684714,0.601623,0.415326,0.488837,0.018703,0.709602
train,0,0.443468,0.423129,0.140334,0.180612,0.109711,0.162875,0.166630,0.316970,0.576470
train,0,0.246718,0.121393,0.115373,0.569755,0.575547,0.275228,0.417279,0.164728,0.708775
train,0,0.297977,0.000000,0.323994,0.000000,0.033854,0.244503,0.444644,0.376939,0.621530
train,1,0.380927,0.434526,0.469062,0.433064,0.507072,0.452806,0.630930,0.877082,0.941018
train,1,0.723211,0.794808,0.801705,0.764676,0.818993,0.746040,0.657175,0.425424,0.942292
train,0,0.000000,0.170621,0.041619,0.000000,0.340744,0.276073,0.097146,0.622151,0.376760
train,1,0.757196,0.872657,0.742604,0.827878,0.681772,0.696117,0.918442,0.468979,0.837366
train,1,0.681419,0.651655,0.765864,0.683239,0.666811,0.671383,0.747420,0.920663,0.822024
train,0,0.487797,0.662960,0.450533,0.337115,0.373327,0.345089,0.591912,0.480850,0.710189
train,1,0.399145,0.640568,0.696872,0.519596,0.427702,0.525283,0.895110,0.705581,0.797569
train,0,0.054715,0.310452,0.034362,0.160869,0.098721,0.301686,0.228985,0.354755,0.257781
train,0,0.107698,0.442116,0.000000,0.276079,0.475432,0.308104,0.359220,0.641765,0.600657
train,0,0.654001,0.278434,0.377350,0.539864,0.800129,0.369644,0.304378,0.306196,0.608108
train,0,0.477311,0.398723,0.713964,0.541876,0.717189,0.711593,0.374792,0.751476,0.672978
train,1,0.665952,0.768623,0.788102,0.770354,0.643846,0.665316,0.895074,0.804000,0.843302
train,1,0.736839,0.779467,0.623112,0.746955,0.869394,0.757484,0.633373,0.725004,0.906667
train,0,0.000000,0.131384,0.000000,0.078403,0.169250,0.000000,0.483265,0.403418,0.658978
train,0,0.197722,0.089420,0.000000,0.037987,0.000000,0.143377,0.774266,0.177989,0.532994
train,1,0.497888,0.520209,0.624525,0.488079,0.489038,0.610575,0.630512,0.670773,0.647666
train,1,0.571696,0.590041,0.507680,0.639155,0.643415,0.633940,0.833188,0.961245,0.817756
train,1,0.925572,0.931851,0.925664,0.907897,0.780433,0.892467,0.440386,0.685820,0.724656
train,0,1.000000,0.834151,0.950138,0.593639,0.561042,0.817380,0.614881,0.505699,0.585174
train,0,0.140750,0.362591,0.021490,0.047606,0.382632,0.194396,0.568623,0.438958,0.744406
train,1,0.865473,0.894358,0.883730,0.812337,0.758071,0.863927,0.910519,0.972687,0.331334
train,1,0.628793,0.689097,0.651779,0.773156,0.752298,0.709737,0.933899,0.702166,0.468921
train,1,0.704836,0.570298,0.651719,0.620831,0.630221,0.710047,0.823604,0.717555,0.415525
train,1,0.467905,0.523714,0.559580,0.593052,0.565784,0.533780,0.782030,0.883811,0.434305
train,0,0.517131,0.476103,0.524834,0.635307,0.594770,0.753771,0.515226,0.632980,0.483007
train,0,0.350824,0.000000,0.250829,0.000000,0.000000,0.122534,0.323852,0.238262,0.592570
train,0,0.524415,0.177874,0.000000,0.439015,0.223429,0.027996,0.655637,0.541874,0.169073
train,0,0.320681,0.297846,0.060601,0.000000,0.000000,0.413676,0.325443,0.557733,0.494057
train,0,0.238928,0.406554,0.267619,0.407010,0.000000,0.151088,0.698082,0.320928,0.572604
train,0,0.205253,0.075863,0.171120,0.473340,0.168389,0.016004,0.353889,0.360209,0.402488
train,1,0.748600,0.704508,0.685202,0.701275,0.756705,0.663305,0.617848,0.889024,0.732683
train,1,0.757276,0.779814,0.673178,0.770230,0.790609,0.800290,0.827785,0.791714,0.796899
train,1,0.697780,0.667121,0.714280,0.790899,0.798409,0.674927,0.734221,0.600233,0.917241
train,1,0.846816,0.811709,0.681952,0.793305,0.799104,0.764459,0.815646,0.673682,0.854710
train,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.552073,0.646946,0.776185
train,0,0.284793,0.236804,0.000000,0.000000,0.000000,0.207207,0.559565,0.570030,0.503125
train,0,0.225901,0.370143,0.642644,0.511769,0.366687,0.454993,0.211569,0.131613,0.666126
train,1,0.683309,0.790735,0.802141,0.628645,0.667577,0.753378,0.862078,0.667217,0.840937
train,1,0.724512,0.634605,0.669836,0.627716,0.753887,0.698412,0.624005,0.804589,0.803695
train,1,0.445804,0.512638,0.490270,0.530572,0.422490,0.517688,0.820591,0.472772,0.649080
train,0,0.331268,0.359532,0.497434,0.193872,0.408266,0.487521,0.443496,0.469958,0.735237
train,1,0.653837,0.809576,0.795636,0.816148,0.888287,0.667520,0.932334,0.861678,0.807127
train,1,0.743632,0.923147,0.821817,0.836407,0.697137,0.744265,0.986874,0.730155,0.929701
train,1,0.992367,0.873270,0.740965,0.904999,0.814220,0.828664,0.867916,0.908206,0.939749
train,1,1.000000,0.833565,0.874901,0.957786,0.937380,0.886263,0.829071,0.846987,0.559146
train,1,0.668922,0.574040,0.553052,0.580284,0.636428,0.577316,0.744640,0.848444,0.796244
train,1,0.466881,0.568506,0.651879,0.567262,0.472106,0.568579,0.666351,0.946408,0.698288
train,0,0.563852,0.497508,0.598929,0.773268,0.376915,0.325406,0.173790,0.084073,0.369171
train,0,0.466304,0.411388,0.202966,0.530081,0.440961,0.368035,0.424068,0.776757,0.555765
train,1,0.224008,0.267839,0.275460,0.305284,0.234927,0.237603,0.827754,0.816882,0.885222
train,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.842128,0.868328,0.976259
train,0,0.483548,0.617044,0.556485,0.364129,0.519606,0.643284,0.414966,0.199666,0.339371
train,1,0.596637,0.603549,0.736131,0.467857,0.576433,0.800475,0.812624,0.772477,0.922284
train,0,0.451055,0.426748,0.042684,0.538743,0.431841,0.252861,0.246291,0.574265,0.640680
train,1,0.625640,0.706840,0.743363,0.762269,0.733496,0.648023,0.774492,0.897770,0.765855
train,1,0.599307,0.680816,0.673299,0.614058,0.714277,0.594740,0.565082,1.000000,0.725018
train,1,0.751950,0.757408,0.848764,0.796690,0.802272,0.888767,0.530369,0.953259,0.779133
train,0,0.278797,0.108980,0.328350,0.431652,0.316514,0.191707,0.412557,0.598067,0.403393
